ticker,company name,short name,industry,description,website,logo,ceo,exchange,market cap,sector,tag 1,tag 2,tag 3 
ORAN,Orange,Orange,Communication Services,"Orange SA provides consumers, businesses and other telecommunications operators with a variety of services including fixed telephony and mobile telecommunications, data transmission and value-added services, mainly in Europe, Africa and the Middle East.",http://www.orange.com,ORAN.png,Stephane Richard,New York Stock Exchange,41030997350,Communication Services,Communication Services,Telecom Services, 
BCE,BCE Inc.,BCE,Communication Services,"BCE Inc is a telecommunication company. It caters to residential, business and wholesale customers with solutions for all their communications needs.",http://www.bce.ca,BCE.png,George A. Cope,New York Stock Exchange,39035790036,Communication Services,Communication Services,Telecom Services, 
CHU,China Unicom (Hong Kong) Ltd,China Unicom (Hong Kong),Communication Services,"China Unicom (Hong Kong) Ltd provides cellular and fixed-line voice and related value-added services, broadband and other Internet-related services, and business and data communications services in the People's Republic of China.",http://www.chinaunicom.com.hk,CHU.png,Xiaochu Wang,New York Stock Exchange,35340690000,Communication Services,Communication Services,Telecom Services, 
BT,BT Group plc American Depositary Shares,BT plc American Depositary Shares,Communication Services,"BT Group PLC is a provider of telecommunications networks and services. It sells fixed-voice, broadband, mobile and TV products and services to consumers in the UK.",https://www.btplc.com,BT.png,Philip Jansen,New York Stock Exchange,30066095332,Communication Services,Communication Services,Telecom Services, 
TLK,PT Telekomunikasi Indonesia Tbk,PT Telekomunikasi Indonesia Tbk,Communication Services,"PT Telekomunikasi Indonesia (Persero) Tbk is an integrated telecommunications service provider in Indonesia. It provides fixed-line services in Indonesia, and through its subsidiary Telkomsel operates as a wireless carrier.",,,,New York Stock Exchange,27252015787,Communication Services,Communication Services,Telecom Services, 
CHT,Chunghwa Telecom Co. Ltd.,Chunghwa Telecom Co.,Communication Services,"Chunghwa Telecom Co Ltd is a Taiwan based telecommunication company. It is engaged in providing fixed-line, wireless, and Internet and data services.",http://www.cht.com.tw,CHT.png,Yu Cheng,New York Stock Exchange,27244153864,Communication Services,Communication Services,Telecom Services, 
S,Sprint Corporation,Sprint,Communication Services,"Sprint Corp is a communications company offering wireless and wireline communications products and services. It offers products and services to individual consumers, businesses, government subscribers and resellers.",http://www.sprint.com,S.png,Michel Combes,New York Stock Exchange,25142822850,Communication Services,Communication Services,Telecom Services, 
VIV,Telefonica Brasil S.A. ADS,Telefonica Brasil S.A. ADS,Communication Services,Telefonica Brasil SA is one of the largest wireless telephone company operating in Brazil. The firm also offers fixed-line telephone services in Sao Paulo State and owns broadband network in the country.,http://www.telefonica.com.br,VIV.png,Eduardo Navarro De Carvalho,New York Stock Exchange,22594722723,Communication Services,Communication Services,Telecom Services, 
RCI,Rogers Communication Inc.,Rogers Communication,Communication Services,"Rogers Communications Inc is the largest wireless carrier in Canada. The company provides cable network, Internet access, TV, and phone services. Through its subsidiaries it owns the Sportsnet TV network.",http://www.rogers.com,RCI.png,Joseph M. Natale,New York Stock Exchange,22063893697,Communication Services,Communication Services,Telecom Services, 
TU,Telus Corporation,Telus,Communication Services,"TELUS Corp is engaged in providing phone, Internet access, and television services to residential and business customers. It also offers cloud-based services to business customers through its data centers.",http://www.telus.com,TU.png,Darren Entwistle,New York Stock Exchange,21366846682,Communication Services,Communication Services,Telecom Services, 
SBAC,SBA Communications Corporation,SBA Communications,Communication Services,"SBA Communications Corp is an independent owner and operator of wireless communications towers in the United States, Brazil, Puerto Rico, Canada, and Central America.",http://www.sbasite.com,SBAC.png,Jeffrey A. Stoops,Nasdaq Global Select,20682297840,Communication Services,Communication Services,Telecom Services, 
LBTYA,Liberty Global plc Class A Ordinary Shares,Liberty Global plc Ordinary Shares,Communication Services,"Liberty Global PLC is a holding company engaged in making investments into international television and broadband companies. Through its subsidiaries, it offers telecommunication, broadband services and cable network.",http://www.libertyglobal.com,LBTYA.png,Michael T. Fries,Nasdaq Global Select,19410852795,Communication Services,Communication Services,Pay TV, 
LBTYK,Liberty Global plc,Liberty Global plc,Communication Services,"Liberty Global PLC is a holding company engaged in making investments into international television and broadband companies. Through its subsidiaries, it offers telecommunication, broadband services and cable network.",http://www.libertyglobal.com,LBTYK.png,Michael T. Fries,Nasdaq Global Select,18706031538,Communication Services,Communication Services,Pay TV, 
LBTYB,Liberty Global plc Class B Ordinary Shares,Liberty Global plc B Ordinary Shares,Communication Services,"Liberty Global PLC is a holding company engaged in making investments into international television and broadband companies. Through its subsidiaries, it offers telecommunication, broadband services and cable network.",http://www.libertyglobal.com,LBTYB.png,Michael T. Fries,Nasdaq Global Select,16712405037,Communication Services,Communication Services,Pay TV, 
SKM,SK Telecom Co. Ltd.,SK Telecom Co.,Communication Services,"SK Telecom Co Ltd provides wireless telecommunications services. Its services include wireless voice and data transmission services, sales of wireless devices, fixed-line telephone services, broadband Internet services, e-commerce services and others.",http://www.sktelecom.com,SKM.png,Jung Ho Park,New York Stock Exchange,16381140953,Communication Services,Communication Services,Telecom Services, 
CTL,CenturyLink Inc.,CenturyLink,Communication Services,"CenturyLink Inc operates as a telecommunications company in the United States. It provides broadband, voice and wireless services to consumers and businesses across the country.",http://www.centurylink.com,CTL.png,Jeffrey K. Storey,New York Stock Exchange,16242308828,Communication Services,Communication Services,Telecom Services, 
LBRDK,Liberty Broadband Corporation,Liberty Broadband,Communication Services,"Liberty Broadband Corp serves in the telecommunications industry in the United States. It provides cable services to both residential and small to medium businesses through its fiber, hybrid fiber, and coaxial cable infrastructure.",http://www.libertybroadband.com,LBRDK.png,Gregory B. Maffei,Nasdaq Global Select,15805836664,Communication Services,Communication Services,Pay TV, 
LBRDA,Liberty Broadband Corporation Class A Common Stock,Liberty Broadband Common Stock,Communication Services,"Liberty Broadband Corp serves in the telecommunications industry in the United States. It provides cable services to both residential and small to medium businesses through its fiber, hybrid fiber, and coaxial cable infrastructure.",http://www.libertybroadband.com,LBRDA.png,Gregory B. Maffei,Nasdaq Global Select,15764306785,Communication Services,Communication Services,Pay TV, 
ATUS,Altice USA Inc. Class A,Altice USA,Communication Services,"Altice USA Inc operates in the telecommunications, media and entertainment business. The company has two segments: Cablevision and Cequel through which it provides digital cable television, high-speed Internet, voice, and data products and services.",http://www.alticeusa.com,ATUS.png,Dexter Goei,New York Stock Exchange,14173290146,Communication Services,Communication Services,Telecom Services, 
DISH,DISH Network Corporation,DISH Network,Communication Services,DISH Network Corp provides a direct broadcast satellite subscription television service in the United States. It offers pay-TV services under the DISH brand and the Sling brand.,http://www.dish.com,DISH.png,W. Erik Carlson,Nasdaq Global Select,14119074649,Communication Services,Communication Services,Pay TV, 
TI,Telecom Italia S.P.A. New,Telecom Italia S.P.A. New,Communication Services,Telecom Italia SpA is engaged in the communications sector. It specializes in providing fixed and mobile national and international telecommunications services.,http://www.telecomitalia.com,TI.png,Amos Genish,New York Stock Exchange,11966146818,Communication Services,Communication Services,Telecom Services, 
SJR,Shaw Communications Inc.,Shaw Communications,Communication Services,"Shaw Communications Inc is a communications and media company that offers consumers with broadband cable television, high-speed internet, home phone, telecommunications services, satellite direct-to-home services and engaging programming.",http://www.shaw.ca,,Bradley S. Shaw,New York Stock Exchange,10038986034,Communication Services,Communication Services,Telecom Services, 
TI.A,Telecom Italia S.P.A. New,Telecom Italia S.P.A. New,Communication Services,Telecom Italia SpA is engaged in the communications sector. It specializes in providing fixed and mobile national and international telecommunications services.,http://www.telecomitalia.com,TI.A.png,Amos Genish,New York Stock Exchange,9527767177,Communication Services,Communication Services,Telecom Services, 
TSU,TIM Participacoes S.A. American Depositary Shares (Each representing 5),TIM Participacoes S.A. American Depositary Shares (Each representing 5),Communication Services,"Tim Participacoes SA is a part of the telecom industry. It operates as a mobile, fixed, long-distance and data transmission operator.",http://www.tim.com.br,TSU.png,Stefano De Angelis,New York Stock Exchange,8246036610,Communication Services,Communication Services,Telecom Services, 
